SPOT_LABEL	CH1_NBC_INT	CH1_SPOT_AREA	CH1_SPOT_BKGD	CH2_NBC_INT	CH2_SPOT_AREA	CH2_SPOT_BKGD
16321	0.15	8400	0.094	1.609	8400	1.38
16322	1.569	10200	0.11	2.623	10200	1.41
16323	0.527	9200	0.121	1.896	9200	1.41
16324	0.637	10300	0.163	2.093	10300	1.488
16325	0.182	10000	0.145	1.774	10000	1.512
16326	6.98	10800	0.105	7.434	10800	1.502
16327	0.431	9800	0.106	2.02	9800	1.502
16328	0.141	10000	0.122	1.727	10000	1.481
16329	2.196	11200	0.133	3.197	11200	1.452
16330	0.399	10200	0.136	2.114	10200	1.486
16331	0.129	10300	0.125	1.749	10300	1.488
16332	0.117	8100	0.116	1.621	8100	1.453
16333	0.106	10000	0.125	1.674	10000	1.403
16334	0.871	10400	0.128	2.25	10400	1.396
16335	1.758	10700	0.123	3.081	10700	1.447
16336	0.158	8000	0.086	1.647	8000	1.486
16337	0.533	9700	0.086	2.081	9700	1.508
16338	0.171	9700	0.12	1.702	9700	1.393
16339	1.773	10600	0.11	3.033	10600	1.399
16340	1.44	10000	0.11	2.717	10000	1.548
16341	0.845	9400	0.113	2.295	9400	1.571
16342	7.958	10500	0.094	8.715	10500	1.562
16343	0.431	9500	0.099	1.852	9500	1.558
16344	0.477	8700	0.122	1.828	8700	1.504
16345	0.164	9300	0.102	1.635	9300	1.492
16346	0.109	8000	0.11	1.602	8000	1.497
16347	0.108	8000	0.112	1.607	8000	1.495
16348	0.411	9700	0.1	1.873	9700	1.486
16349	0.196	10500	0.1	1.651	10500	1.447
16350	0.439	9500	0.1	1.928	9500	1.44
16351	0.236	9600	0.1	1.808	9600	1.459
16352	1.572	10300	0.124	2.655	10300	1.463
16353	0.78	10300	0.112	2.019	10300	1.449
16354	0.145	6000	0.111	1.568	6000	1.428
16355	0.37	9800	0.097	1.832	9800	1.439
16356	0.241	10500	0.096	1.881	10500	1.416
16357	0.125	8500	0.095	1.782	8500	1.418
16358	0.963	10500	0.098	2.385	10500	1.428
16359	1.527	11200	0.121	2.789	11200	1.428
16360	0.404	10700	0.119	2.032	10700	1.384
16361	1.607	10700	0.119	2.787	10700	1.395
16362	0.319	9900	0.111	1.928	9900	1.447
16363	0.151	10000	0.102	1.668	10000	1.423
16364	0.197	10400	0.122	1.654	10400	1.396
16365	0.599	10200	0.129	2.133	10200	1.403
16366	0.77	10700	0.103	1.999	10700	1.41
16367	0.756	10600	0.116	2.061	10600	1.391
16368	3.254	11000	0.138	3.951	11000	1.366
16369	0.276	10600	0.126	1.577	10600	1.356
16370	0.299	9100	0.117	1.735	9100	1.385
16371	1.231	11100	0.123	2.549	11100	1.445
16372	2.147	10700	0.121	3.141	10700	1.465
16373	2.198	10400	0.164	3.127	10400	1.471
16374	0.123	8000	0.155	1.509	8000	1.475
16375	0.146	8000	0.101	1.594	8000	1.489
16376	0.262	10500	0.103	10.074	10500	1.506
16377	0.114	10100	0.099	1.663	10100	1.442
16378	0.635	9600	0.115	2.035	9600	1.435
16379	57.353	10800	0.136	51.351	10800	1.519
16380	0.398	10100	0.136	1.903	10100	1.509
16381	0.143	10300	0.136	1.607	10300	1.471
16382	0.149	10200	0.13	1.691	10200	1.435
16383	0.316	10200	0.122	1.781	10200	1.482
16384	0.135	8200	0.099	1.561	8200	1.495
16385	0.145	9300	0.084	1.596	9300	1.512
16386	0.419	9000	0.084	1.913	9000	1.521
16387	0.322	9400	0.128	1.813	9400	1.482
16388	0.118	10100	0.124	1.7	10100	1.45
16389	0.12	10100	0.089	1.704	10100	1.471
16390	0.303	9000	0.108	1.712	9000	1.538
16391	0.755	10200	0.107	2.205	10200	1.53
16392	0.237	10100	0.118	1.86	10100	1.548
16393	0.653	9000	0.114	2.195	9000	1.495
16394	0.135	10400	0.098	1.623	10400	1.468
16395	0.21	5600	0.096	1.755	5600	1.487
16396	0.195	10200	0.106	1.747	10200	1.495
16397	0.427	10600	0.098	2.056	10600	1.448
16398	0.165	10300	0.097	1.74	10300	1.444
16399	0.235	10400	0.098	1.839	10400	1.463
16400	0.131	9800	0.099	1.593	9800	1.472
16401	0.128	8500	0.109	1.684	8500	1.463
16402	1.845	10700	0.127	3.028	10700	1.448
16403	0.155	9000	0.158	1.623	9000	1.438
16404	0.204	7300	0.112	1.569	7300	1.437
16405	0.224	7000	0.1	1.661	7000	1.453
16406	0.154	8700	0.1	1.533	8700	1.453
16407	0.93	8300	0.11	2.141	8300	1.439
16408	0.616	8400	0.113	1.945	8400	1.5
16409	0.987	9600	0.103	2.38	9600	1.479
16410	0.117	8000	0.115	1.572	8000	1.411
16411	1.649	10000	0.128	2.858	10000	1.451
16412	0.17	9100	0.107	1.647	9100	1.436
16413	0.191	9400	0.134	1.562	9400	1.38
16414	0.133	7400	0.131	1.529	7400	1.412
16415	0.128	8500	0.1	1.54	8500	1.42
16416	0.216	10200	0.11	1.621	10200	1.411
16417	0.232	10100	0.112	1.523	10100	1.353
16418	0.864	9800	0.111	2.224	9800	1.352
16419	1.27	10400	0.127	2.402	10400	1.394
16420	0.839	10700	0.124	2.247	10700	1.465
16421	0.567	10000	0.131	1.892	10000	1.465
16422	2.003	10500	0.147	2.949	10500	1.405
16423	0.14	8000	0.116	1.727	8000	1.46
16424	1.364	10100	0.095	2.631	10100	1.483
16425	0.284	9200	0.094	1.663	9200	1.471
16426	0.134	10600	0.111	1.559	10600	1.413
16427	1.088	9500	0.127	2.37	9500	1.432
16428	0.138	9200	0.147	1.536	9200	1.522
16429	0.246	9500	0.148	1.635	9500	1.535
16430	0.219	9200	0.141	1.692	9200	1.502
16431	0.475	9800	0.132	1.944	9800	1.462
16432	0.328	9800	0.131	1.695	9800	1.464
16433	0.535	9600	0.099	1.987	9600	1.507
16434	0.421	9200	0.107	1.925	9200	1.529
16435	0.15	8000	0.107	1.534	8000	1.519
16436	0.525	9500	0.105	1.886	9500	1.497
16437	1.48	10200	0.101	2.665	10200	1.516
16438	2.214	10300	0.107	3.247	10300	1.526
