SPOT_LABEL	CH1_NBC_INT	CH1_SPOT_AREA	CH1_SPOT_BKGD	CH2_NBC_INT	CH2_SPOT_AREA	CH2_SPOT_BKGD
1	0.228	8300	0.099	2.712	8300	1.961
2	0.215	7900	0.119	2.593	7900	1.935
3	0.205	5300	0.123	2.562	5300	2.028
4	0.174	9100	0.116	2.633	9100	2.021
5	0.174	7300	0.121	2.551	7300	1.959
6	0.172	9000	0.112	2.319	9000	1.989
7	0.169	8900	0.122	2.725	8900	2.021
8	0.214	9900	0.112	2.637	9900	2.018
9	0.177	9500	0.133	3.016	9500	2.047
10	0.238	8700	0.134	3.272	8700	2.063
11	3.636	10500	0.13	5.783	10500	2.043
12	0.326	10100	0.148	3.681	10100	2.055
13	3.227	10000	0.128	5.422	10000	2.061
14	0.277	9100	0.098	3.259	9100	1.989
15	12.009	10800	0.144	14.462	10800	1.979
16	1.439	9200	0.144	4.311	9200	2.037
17	0.206	9000	0.158	3.037	9000	2.066
18	6.559	10000	0.169	8.211	10000	2.061
19	1.13	9100	0.138	3.589	9100	2.021
20	0.178	9800	0.134	3.237	9800	1.983
21	0.151	7700	0.135	2.858	7700	1.969
22	10.642	9400	0.127	10.747	9400	2.006
23	0.187	9600	0.139	3.173	9600	2.017
24	2.707	8700	0.139	4.975	8700	1.991
25	1.609	10300	0.132	4.427	10300	1.979
26	0.312	9300	0.137	3.237	9300	2.005
27	0.179	8800	0.117	3.055	8800	2.005
28	0.175	8300	0.111	2.903	8300	1.987
29	1.43	9000	0.147	3.729	9000	1.974
30	0.16	8300	0.146	2.707	8300	1.974
31	0.255	8800	0.117	3.078	8800	1.959
32	0.166	8700	0.12	3.112	8700	1.951
33	1.424	10300	0.116	4.12	10300	1.916
34	0.316	8800	0.14	3.071	8800	2.015
35	2.913	10200	0.146	5.704	10200	1.992
36	0.152	9500	0.125	2.782	9500	1.932
37	0.458	9600	0.123	3.294	9600	1.997
38	2.554	10600	0.136	5.098	10600	2
39	1.074	10300	0.133	3.979	10300	1.974
40	1.326	9900	0.135	4.092	9900	2.017
41	0.172	8900	0.136	2.678	8900	1.963
42	0.199	9300	0.152	2.766	9300	1.929
43	7.617	10600	0.201	8.929	10600	1.875
44	0.51	9900	0.18	3.004	9900	1.824
45	3.929	10000	0.168	5.449	10000	1.824
46	0.601	10000	0.187	3.201	10000	1.805
47	0.356	9300	0.22	2.999	9300	1.752
48	0.183	9200	0.182	2.725	9200	1.682
49	0.481	6400	0.121	2.355	6400	1.58
50	0.176	8800	0.102	2.528	8800	1.991
51	0.257	9100	0.12	2.935	9100	1.931
52	0.302	6600	0.156	2.774	6600	1.959
53	0.189	5400	0.125	2.483	5400	2.015
54	0.307	8600	0.117	2.87	8600	2.088
55	0.237	6600	0.111	2.738	6600	2.073
56	0.529	6300	0.114	2.973	6300	1.996
57	2.112	8600	0.118	4.463	8600	1.964
58	0.153	8900	0.144	2.626	8900	2.056
59	0.393	6200	0.149	2.941	6200	2.056
60	0.189	7800	0.14	2.958	7800	2.023
61	0.204	7200	0.132	2.646	7200	2.072
62	0.243	6900	0.122	2.622	6900	2.068
63	6.428	9600	0.126	8.127	9600	1.981
64	1.731	8300	0.136	4.168	8300	1.975
65	1.867	10400	0.136	4.44	10400	2.036
66	0.194	9400	0.148	3.15	9400	2.041
67	0.3	9100	0.171	3.336	9100	2.041
68	0.385	9300	0.139	3.156	9300	2.007
69	39.721	10600	0.148	34.021	10600	1.987
70	0.179	8000	0.159	2.594	8000	1.984
71	0.233	10300	0.144	3.139	10300	1.986
72	0.428	8000	0.129	3.164	8000	1.979
73	0.74	9100	0.127	3.309	9100	2.003
74	0.367	8700	0.147	2.935	8700	1.988
75	0.156	8900	0.147	2.752	8900	1.97
76	0.436	9700	0.129	2.999	9700	2.001
77	0.158	9700	0.118	2.847	9700	1.987
78	2.56	10000	0.128	4.814	10000	1.97
79	0.295	9800	0.138	2.903	9800	1.976
80	1.177	10000	0.097	3.692	10000	1.949
81	0.232	6400	0.105	2.643	6400	1.921
82	0.156	8400	0.106	2.404	8400	1.905
83	4.238	10100	0.125	6.638	10100	1.963
84	1.771	10000	0.147	4.005	10000	1.959
85	0.562	9400	0.126	3.072	9400	1.932
86	0.474	9300	0.106	3.011	9300	1.95
87	0.162	8100	0.116	2.718	8100	1.827
88	0.448	8500	0.155	2.849	8500	1.854
89	0.172	7700	0.158	2.214	7700	1.961
90	0.308	6200	0.143	2.631	6200	1.967
91	0.784	4200	0.152	2.894	4200	1.943
92	0.217	7900	0.184	2.241	7900	1.929
93	0.251	7800	0.183	2.226	7800	1.92
94	0.198	10000	0.173	2.128	10000	1.887
95	0.219	7900	0.171	2.068	7900	1.85
96	0.205	8700	0.183	2.341	8700	1.854
97	0.192	10100	0.182	2.718	10100	1.831
98	0.205	10400	0.142	2.686	10400	1.735
99	1.133	11000	0.141	3.861	11000	1.965
100	0.165	10200	0.124	2.794	10200	1.965
101	0.155	10300	0.142	2.94	10300	2.021
102	0.17	9500	0.124	3.04	9500	2.033
103	0.164	9600	0.117	3.04	9600	2.073
104	0.15	10400	0.128	3.046	10400	2.057
105	0.669	10400	0.127	3.319	10400	2
106	0.157	10700	0.123	2.931	10700	1.971
107	0.149	10300	0.149	2.891	10300	2.051
108	1.565	10600	0.153	4.037	10600	2.026
109	0.174	9900	0.149	2.734	9900	2.006
110	0.175	9700	0.123	2.935	9700	2.029
111	0.176	10100	0.118	2.759	10100	2.06
112	1.267	10400	0.154	3.868	10400	2.009
113	0.17	9000	0.149	2.682	9000	1.967
114	12.795	10300	0.139	13.426	10300	2.005
115	0.269	8800	0.175	2.716	8800	2.034
116	1.882	9800	0.157	4.234	9800	1.97
117	0.49	8700	0.134	2.84	8700	1.955
118	1.316	10000	0.137	3.64	10000	2.004
119	0.675	9100	0.148	3.078	9100	2.011
120	0.188	9000	0.139	2.554	9000	1.982
121	0.26	8300	0.114	2.748	8300	1.961
122	0.168	8000	0.106	2.447	8000	1.984
123	1.094	7300	0.11	3.316	7300	1.908
124	0.612	9100	0.142	3.185	9100	1.907
125	0.153	8700	0.152	2.445	8700	1.916
126	0.175	7400	0.133	2.427	7400	1.913
127	0.185	8500	0.133	2.423	8500	1.921
128	0.135	9200	0.134	2.559	9200	1.931
129	0.278	10200	0.088	2.836	10200	1.939
130	1.087	10700	0.1	3.715	10700	1.925
131	0.473	10500	0.108	3.168	10500	1.919
132	5.923	10500	0.113	7.29	10500	1.934
133	0.131	8900	0.129	2.727	8900	1.958
134	0.142	9000	0.122	2.623	9000	1.962
135	4.298	10500	0.105	5.786	10500	1.933
136	0.162	10400	0.108	2.635	10400	1.871
137	1.653	10600	0.155	4.04	10600	1.901
138	0.163	9100	0.188	2.662	9100	1.961
139	1.002	8700	0.162	3.299	8700	1.95
140	0.184	9300	0.155	2.613	9300	1.898
141	0.647	10300	0.164	3.188	10300	1.894
142	0.479	9900	0.186	2.914	9900	1.967
143	0.169	10000	0.19	2.787	10000	1.916
144	0.378	8700	0.173	2.856	8700	1.845
145	1.101	9100	0.167	3.237	9100	1.914
146	0.162	9100	0.174	2.349	9100	1.854
147	0.463	8400	0.193	2.667	8400	1.782
148	0.148	9400	0.138	2.599	9400	2.006
149	1.222	9800	0.139	3.448	9800	2.025
150	0.143	9300	0.152	2.58	9300	2.039
151	0.139	9600	0.117	2.688	9600	1.933
152	0.156	7700	0.109	2.423	7700	1.969
153	0.184	8800	0.128	2.609	8800	1.996
154	0.143	8300	0.136	2.441	8300	1.97
155	0.305	9900	0.124	2.752	9900	2.048
156	0.146	9200	0.124	2.527	9200	2.071
157	0.166	9100	0.141	2.471	9100	2.014
158	0.169	9100	0.141	2.604	9100	1.976
159	0.825	8600	0.126	3.042	8600	2.021
160	0.359	7300	0.135	2.622	7300	2.021
161	1.528	10500	0.161	4.238	10500	1.994
162	1.913	10700	0.153	4.57	10700	1.978
163	1.012	10300	0.157	3.914	10300	2.053
164	0.368	10000	0.156	2.931	10000	2.008
165	1.251	10200	0.14	3.819	10200	1.924
166	0.413	9000	0.146	2.843	9000	1.966
167	67.394	10400	0.151	59.024	10400	1.985
168	16.309	10300	0.154	16.902	10300	1.98
169	0.165	9800	0.137	2.636	9800	1.973
170	0.935	9600	0.114	3.443	9600	1.95
171	0.143	10000	0.112	2.762	10000	1.9
172	0.344	11000	0.107	3.037	11000	1.886
