SPOT_LABEL	CH1_NBC_INT	CH1_SPOT_AREA	CH1_SPOT_BKGD	CH2_NBC_INT	CH2_SPOT_AREA	CH2_SPOT_BKGD
173	0.331	10200	0.111	2.94	10200	1.914
174	0.147	9100	0.132	2.551	9100	1.897
175	0.918	10500	0.131	3.496	10500	1.849
176	0.212	10700	0.131	3.057	10700	1.869
177	0.157	9300	0.129	2.518	9300	1.879
178	1.87	10000	0.113	3.833	10000	1.908
179	0.328	9800	0.097	2.496	9800	1.916
180	0.147	9300	0.097	2.18	9300	1.907
181	0.578	8500	0.102	2.759	8500	1.898
182	0.151	8500	0.117	2.085	8500	1.894
183	15.372	10400	0.125	15.596	10400	1.922
184	2.222	9100	0.149	4.109	9100	1.916
185	0.368	6900	0.12	2.693	6900	1.91
186	0.144	9900	0.122	2.432	9900	1.924
187	0.167	9400	0.163	2.584	9400	1.982
188	0.221	9400	0.17	2.659	9400	1.988
189	0.2	9400	0.17	2.448	9400	1.861
190	0.2	8500	0.171	2.421	8500	1.86
191	0.189	8800	0.163	2.592	8800	1.922
192	0.18	9600	0.153	2.687	9600	1.916
193	0.199	10600	0.14	2.544	10600	1.921
194	0.532	10400	0.148	2.814	10400	1.928
195	0.289	10400	0.162	2.7	10400	1.884
196	0.174	11000	0.196	2.649	11000	1.86
197	2.284	10200	0.135	4.57	10200	1.951
198	0.351	10400	0.141	2.707	10400	2.003
199	0.16	10500	0.143	2.547	10500	2.019
200	1.471	11100	0.144	3.827	11100	1.95
201	0.156	9900	0.136	2.821	9900	2.009
202	0.505	10100	0.129	3.18	10100	1.988
203	2.255	10400	0.145	4.309	10400	1.967
204	0.191	9500	0.114	2.514	9500	2.046
205	0.54	10400	0.093	3.075	10400	2.05
206	0.17	10700	0.105	3.057	10700	2.012
207	0.561	10600	0.137	3.234	10600	2.026
208	0.941	10400	0.144	3.478	10400	2.007
209	0.161	9200	0.142	2.457	9200	1.988
210	0.19	9000	0.135	2.593	9000	1.986
211	1.836	10100	0.146	3.871	10100	2.019
212	0.332	9000	0.147	2.774	9000	2.054
213	0.2	9400	0.126	2.798	9400	1.989
214	1.165	9900	0.126	3.535	9900	1.902
215	0.464	8600	0.15	2.981	8600	1.977
216	0.152	7800	0.156	2.441	7800	1.973
217	0.159	8400	0.145	2.348	8400	1.888
218	0.151	8000	0.135	2.114	8000	1.888
219	1.397	9900	0.132	3.387	9900	1.922
220	0.167	9000	0.126	2.484	9000	1.919
221	0.153	5000	0.111	2.237	5000	1.909
222	0.142	8700	0.111	2.222	8700	1.906
223	0.188	9500	0.122	2.421	9500	1.918
224	0.131	9400	0.114	2.258	9400	1.864
225	0.134	10200	0.117	2.307	10200	1.813
226	0.815	10700	0.124	3.052	10700	1.853
227	0.201	10400	0.116	2.696	10400	1.867
228	0.142	10400	0.102	2.37	10400	1.884
229	0.259	9000	0.104	2.549	9000	1.869
230	1.132	11000	0.135	3.835	11000	1.877
231	0.958	10700	0.12	3.621	10700	1.874
232	0.755	10600	0.116	3.116	10600	1.845
233	5.898	10400	0.133	7.374	10400	1.845
234	3.344	10300	0.129	5.276	10300	1.908
235	4.482	10300	0.139	6.02	10300	1.905
236	0.524	10000	0.165	3.112	10000	1.925
237	0.135	10600	0.169	2.353	10600	1.983
238	5.793	10100	0.163	9.267	10100	1.864
239	0.154	10600	0.174	2.662	10600	1.84
240	0.355	10100	0.142	2.746	10100	1.844
241	0.292	8600	0.129	2.366	8600	1.86
242	2.2	10300	0.136	4.523	10300	1.921
243	0.313	10200	0.141	2.663	10200	1.921
244	0.932	9700	0.147	3.122	9700	1.896
245	0.177	9900	0.155	2.276	9900	1.897
246	1.421	10500	0.131	3.702	10500	1.909
247	0.225	8800	0.147	2.494	8800	1.984
248	0.65	10200	0.145	2.955	10200	1.935
249	0.254	8600	0.158	2.603	8600	1.987
250	0.211	7700	0.162	2.525	7700	1.966
251	0.154	10200	0.13	2.389	10200	1.99
252	0.463	9600	0.112	2.597	9600	2
253	0.23	8900	0.127	2.466	8900	1.973
254	0.246	9400	0.106	2.559	9400	1.958
255	2.529	8400	0.112	4.629	8400	1.969
256	0.166	9200	0.147	2.443	9200	2.058
257	0.622	9600	0.156	3.161	9600	1.993
258	3.197	9700	0.155	5.639	9700	1.976
259	0.409	9800	0.151	3.033	9800	1.992
260	0.711	10500	0.15	3.202	10500	2.036
261	0.15	9700	0.125	2.534	9700	2.052
262	0.161	10200	0.128	2.739	10200	2.039
263	0.173	8800	0.128	2.18	8800	1.949
264	0.152	10300	0.143	2.613	10300	1.944
265	1.867	10800	0.149	3.833	10800	1.944
266	0.488	9900	0.128	2.814	9900	1.882
267	0.157	10100	0.118	2.547	10100	1.854
268	0.198	8800	0.139	2.402	8800	1.909
269	0.952	10600	0.131	3.293	10600	1.945
270	0.251	9500	0.114	2.391	9500	1.919
271	1.153	10400	0.144	3.273	10400	1.875
272	10.892	10700	0.151	10.905	10700	1.904
273	0.215	9600	0.095	2.374	9600	1.932
274	0.241	10300	0.085	2.462	10300	1.88
275	0.16	10300	0.12	2.408	10300	1.859
276	0.595	10500	0.116	2.714	10500	1.855
277	0.428	10000	0.115	2.603	10000	1.87
278	0.193	9300	0.13	2.216	9300	1.817
279	0.255	9700	0.135	2.391	9700	1.821
280	0.437	10000	0.141	2.615	10000	1.879
281	0.472	8900	0.132	2.734	8900	1.876
282	0.154	10500	0.128	2.143	10500	1.859
283	0.389	4000	0.151	2.521	4000	1.908
284	0.456	7900	0.161	2.556	7900	1.908
285	0.214	8500	0.164	2.282	8500	1.918
286	0.181	8900	0.142	2.272	8900	1.949
287	0.379	10100	0.152	2.584	10100	1.861
288	0.166	9500	0.146	2.143	9500	1.842
289	0.248	9100	0.127	2.337	9100	1.867
290	1.317	10500	0.133	3.514	10500	1.877
291	0.419	9800	0.169	2.576	9800	1.889
292	0.168	10400	0.172	2.564	10400	1.905
293	0.147	9700	0.173	2.609	9700	1.857
294	0.17	10100	0.169	2.368	10100	1.877
295	0.141	9500	0.134	2.617	9500	1.969
296	2.796	10700	0.134	4.555	10700	2.006
297	0.163	9300	0.137	2.462	9300	1.933
298	3.212	10300	0.15	5.173	10300	1.921
299	25.933	11100	0.203	22.888	11100	1.916
300	5.05	10400	0.147	6.716	10400	1.941
301	2.202	11000	0.126	4.052	11000	1.978
302	0.678	10400	0.146	2.724	10400	1.957
303	0.166	10200	0.136	2.36	10200	1.907
304	1.924	11000	0.119	3.926	11000	1.926
305	0.224	9400	0.147	2.629	9400	1.959
306	0.273	7200	0.141	2.516	7200	1.989
307	0.298	8900	0.139	2.611	8900	1.971
308	0.167	8800	0.144	2.463	8800	1.954
309	0.161	9600	0.137	2.437	9600	2.004
310	2.045	10600	0.149	4.581	10600	2.035
311	0.155	9400	0.158	2.428	9400	2.021
312	1.672	9400	0.133	3.802	9400	1.959
313	0.653	8800	0.146	2.69	8800	1.936
314	0.131	9400	0.153	2.267	9400	1.935
315	2.299	9900	0.124	4.207	9900	1.937
316	0.124	10200	0.113	2.304	10200	1.916
317	0.147	8300	0.127	2.198	8300	1.895
318	0.24	8900	0.134	2.366	8900	1.906
319	45.722	10300	0.145	39.963	10300	1.871
320	4.398	10300	0.133	5.626	10300	1.855
321	0.143	9700	0.149	2.507	9700	1.846
322	0.213	9500	0.11	2.458	9500	1.869
323	0.156	9900	0.119	2.529	9900	1.88
324	0.548	10800	0.133	3.157	10800	1.904
325	0.239	10000	0.128	2.643	10000	1.838
326	0.233	10600	0.123	2.669	10600	1.818
327	0.177	10700	0.114	2.593	10700	1.824
328	0.187	10100	0.134	2.622	10100	1.876
329	0.168	9800	0.146	2.25	9800	1.867
330	0.136	8800	0.145	2.241	8800	1.95
331	2.08	10700	0.142	4.401	10700	1.907
332	10.213	10400	0.133	10.882	10400	1.866
333	0.228	9500	0.117	2.396	9500	1.876
334	0.548	9700	0.132	2.812	9700	1.943
335	8.184	10700	0.137	9.325	10700	1.916
336	0.161	7700	0.144	2.43	7700	1.884
337	0.159	7600	0.163	2.268	7600	1.887
338	3.434	10000	0.15	5.061	10000	1.889
339	0.325	9600	0.151	2.384	9600	1.869
340	0.953	9900	0.157	2.919	9900	1.881
341	3.563	10100	0.186	5.048	10100	1.911
342	23.884	10600	0.182	22.826	10600	1.902
343	0.203	8000	0.173	2.222	8000	1.907
344	2.921	10300	0.131	4.762	10300	1.997
345	6.149	10700	0.124	7.301	10700	2.012
346	0.209	7300	0.119	2.358	7300	1.984
347	0.223	8800	0.129	2.402	8800	1.936
348	0.229	9800	0.164	2.405	9800	1.931
349	0.199	9600	0.137	2.326	9600	1.98
350	0.162	9000	0.126	2.319	9000	1.98
351	0.147	10200	0.139	2.434	10200	1.973
352	2.259	10700	0.139	4.252	10700	1.973
353	0.845	9400	0.13	2.992	9400	1.971
354	4.882	9200	0.138	6.575	9200	1.986
355	0.363	9000	0.138	2.609	9000	1.999
356	0.177	9900	0.137	2.466	9900	1.987
357	0.221	9300	0.12	2.479	9300	1.912
358	0.199	10800	0.127	2.799	10800	1.93
359	3.982	10500	0.14	6.01	10500	1.981
360	1.782	10500	0.131	3.985	10500	1.976
361	0.156	10600	0.131	2.523	10600	1.944
362	0.141	10600	0.141	2.624	10600	1.929
363	0.454	9700	0.12	2.858	9700	1.927
364	0.172	9400	0.106	2.287	9400	1.923
365	1.464	10800	0.108	3.512	10800	1.916
366	0.16	9100	0.129	2.301	9100	1.894
367	0.161	10000	0.142	2.273	10000	1.841
368	0.141	10300	0.13	2.518	10300	1.849
369	59.393	6900	0.13	42.907	6900	1.848
370	25.439	5900	0.139	18.906	5900	1.844
371	13.567	8300	0.118	13.221	8300	1.838
372	6.098	6000	0.132	7.158	6000	1.845
373	0.586	2300	0.125	2.438	2300	1.824
374	0.68	3500	0.132	2.391	3500	1.804
375	0.357	5200	0.123	2.322	5200	1.847
376	0.137	8200	0.102	2.02	8200	1.894
377	0.23	9500	0.13	2.278	9500	1.894
378	0.145	8600	0.154	2.1	8600	1.928
379	4.183	8400	0.144	36.622	8400	1.975
380	0.137	8000	0.14	2.072	8000	1.916
381	1.079	5700	0.133	4.41	5700	1.907
382	0.624	4700	0.107	2.441	4700	1.855
383	11.11	6800	0.134	22.636	6800	1.858
384	9.853	5600	0.141	4.54	5600	1.931
385	0.175	8900	0.142	2.37	8900	1.921
386	5.528	10400	0.171	7.441	10400	1.922
387	0.347	10000	0.171	2.681	10000	1.904
388	0.386	10000	0.159	2.539	10000	1.851
389	0.159	8800	0.148	2.346	8800	1.846
390	0.138	10100	0.137	2.245	10100	1.921
391	0.15	9000	0.147	2.302	9000	1.916
392	0.228	7900	0.156	2.255	7900	1.886
393	0.633	9000	0.124	2.641	9000	1.998
394	0.19	8200	0.115	2.342	8200	1.939
395	0.594	9500	0.113	2.954	9500	1.987
396	0.152	8100	0.123	2.303	8100	1.996
397	0.886	9200	0.124	2.979	9200	1.984
398	0.253	8700	0.107	2.558	8700	1.994
399	0.171	9000	0.134	2.408	9000	1.981
400	0.24	4900	0.129	2.387	4900	1.946
401	1.724	10600	0.127	3.813	10600	1.973
402	0.167	9700	0.129	2.678	9700	1.971
403	0.168	9900	0.116	2.662	9900	1.936
404	0.164	9800	0.147	2.496	9800	1.937
405	44.303	10700	0.181	40.059	10700	1.953
406	0.753	10400	0.13	3.314	10400	1.918
407	0.212	9200	0.127	2.189	9200	1.922
408	0.688	10000	0.132	2.965	10000	1.937
409	0.444	9900	0.128	2.865	9900	1.954
410	0.142	10500	0.13	2.426	10500	1.951
411	0.319	9700	0.139	2.477	9700	1.931
412	0.137	9500	0.134	2.129	9500	1.881
413	0.135	10300	0.118	2.449	10300	1.834
414	0.472	10500	0.13	2.7	10500	1.815
415	0.129	8900	0.14	2.174	8900	1.88
416	0.181	10000	0.127	2.151	10000	1.85
417	4.07	10300	0.113	5.502	10300	1.826
418	0.153	8600	0.113	2.08	8600	1.875
419	3.686	9900	0.105	4.984	9900	1.885
420	1.033	10000	0.126	2.928	10000	1.865
421	0.13	9100	0.128	2.178	9100	1.883
422	0.396	9600	0.116	2.42	9600	1.813
423	0.149	9900	0.121	2.135	9900	1.813
424	0.125	10000	0.121	2.165	10000	1.917
425	0.122	9500	0.117	2.18	9500	1.918
426	0.146	7600	0.144	2.21	7600	1.955
427	0.196	10000	0.168	2.142	10000	1.984
428	0.207	9600	0.168	2.248	9600	2.018
429	93.078	10800	0.16	83.298	10800	1.992
430	0.199	8000	0.143	2.329	8000	1.925
431	0.135	10000	0.135	2.153	10000	1.894
432	1.043	9900	0.158	3.023	9900	1.894
433	0.24	9800	0.144	2.246	9800	1.92
434	3.887	10700	0.135	5.826	10700	1.957
435	1.479	10500	0.16	3.681	10500	1.922
436	0.777	10500	0.179	2.966	10500	1.863
437	0.174	10100	0.173	2.151	10100	1.857
438	0.796	9700	0.153	2.682	9700	1.901
439	0.174	10400	0.146	2.197	10400	1.93
440	0.164	9300	0.125	2.268	9300	1.883
441	0.325	10500	0.143	2.762	10500	1.882
442	0.254	10700	0.124	2.64	10700	1.937
443	0.834	10700	0.115	3.166	10700	1.852
444	0.185	10700	0.116	2.64	10700	1.98
445	1.385	11100	0.122	3.841	11100	2.044
446	2.214	11100	0.112	4.221	11100	1.985
447	0.494	10800	0.132	2.998	10800	1.965
448	0.159	10000	0.153	2.604	10000	1.917
449	0.166	10100	0.136	2.37	10100	1.917
450	0.187	9600	0.122	2.325	9600	1.965
451	0.147	9300	0.114	2.208	9300	1.94
452	0.153	7900	0.099	2.145	7900	1.85
453	0.173	8400	0.126	2.175	8400	1.892
454	0.407	9400	0.164	2.422	9400	1.953
455	0.352	9700	0.157	2.428	9700	1.936
456	0.649	9700	0.137	2.709	9700	1.931
457	0.136	8600	0.125	2.292	8600	1.957
458	1.436	9900	0.116	3.387	9900	1.895
459	0.143	9600	0.122	2.186	9600	1.881
460	0.814	9400	0.122	2.855	9400	1.879
461	0.186	9900	0.124	2.072	9900	1.883
462	0.238	9100	0.124	2.262	9100	1.856
463	1.08	10200	0.138	3.084	10200	1.83
464	0.275	9500	0.133	2.131	9500	1.86
465	0.199	10500	0.113	2.458	10500	1.824
466	4.03	11000	0.127	5.896	11000	1.857
467	0.948	9100	0.122	2.959	9100	1.894
468	2.536	10800	0.106	4.408	10800	1.89
469	2.219	10800	0.111	3.877	10800	1.871
470	0.667	10600	0.139	2.643	10600	1.887
471	2.884	11100	0.16	4.658	11100	1.838
472	0.743	10400	0.121	2.926	10400	1.823
473	0.612	10100	0.126	2.99	10100	1.902
474	0.341	9800	0.139	2.298	9800	2.019
475	7.445	10800	0.179	8.786	10800	2.013
476	0.266	8800	0.208	2.322	8800	1.998
477	0.426	10500	0.196	2.732	10500	1.984
478	0.175	8200	0.154	2.254	8200	1.966
479	0.296	9800	0.116	2.554	9800	1.888
480	0.596	10600	0.116	2.932	10600	1.935
481	0.519	9300	0.135	2.527	9300	1.939
482	3.21	10100	0.137	4.727	10100	1.936
483	0.167	8800	0.137	2.37	8800	1.933
484	0.155	8600	0.158	2.224	8600	1.811
485	0.142	8700	0.164	2.139	8700	1.814
486	0.825	9700	0.16	2.821	9700	1.839
487	0.794	10300	0.161	2.658	10300	1.953
488	1.191	9800	0.151	3.182	9800	1.99
489	0.84	8800	0.147	2.615	8800	1.916
490	0.175	9500	0.138	1.995	9500	1.904
491	0.139	9100	0.119	2.198	9100	1.893
492	0.173	9200	0.139	2.24	9200	1.852
493	0.141	6900	0.126	2.239	6900	1.988
494	0.253	10200	0.128	2.213	10200	1.945
495	0.618	9700	0.138	2.669	9700	1.926
496	0.347	9400	0.123	2.403	9400	1.952
497	4.734	10400	0.127	6.745	10400	1.921
498	0.222	10300	0.139	2.272	10300	1.917
499	0.15	9400	0.143	2.207	9400	1.947
500	0.201	9100	0.133	2.597	9100	1.953
501	0.21	9700	0.095	2.341	9700	1.942
502	0.465	9900	0.117	2.698	9900	1.913
503	0.217	9900	0.127	2.436	9900	1.927
504	0.23	10400	0.131	2.604	10400	1.924
505	1.584	10700	0.124	3.631	10700	1.904
506	0.194	10100	0.126	2.545	10100	1.916
507	0.82	10400	0.136	2.959	10400	1.898
508	0.128	9900	0.139	2.222	9900	1.847
509	0.541	10500	0.125	2.746	10500	1.866
510	2.427	11200	0.111	4.258	11200	1.886
511	1.397	11000	0.115	3.622	11000	1.837
512	0.15	9800	0.132	2.202	9800	1.857
513	0.397	9100	0.13	2.492	9100	1.844
514	0.125	9400	0.141	2.087	9400	1.849
515	0.144	8000	0.168	1.991	8000	1.877
516	374.165	10300	0.279	296.509	10300	1.86
517	0.423	5100	0.153	2.337	5100	1.859
518	0.418	10800	0.113	2.286	10800	1.855
519	0.437	9900	0.117	2.372	9900	1.854
520	0.288	9400	0.123	2.172	9400	1.842
521	0.991	10300	0.102	2.861	10300	1.833
522	6.464	9800	0.131	7.981	9800	1.83
523	0.945	10200	0.139	2.961	10200	1.915
524	6.096	9800	0.156	7.526	9800	1.986
525	0.197	10100	0.159	2.251	10100	1.986
526	0.204	8500	0.135	2.251	8500	1.966
527	0.123	9100	0.135	2.153	9100	1.934
528	0.168	9300	0.108	2.208	9300	1.936
529	0.144	10200	0.122	2.447	10200	2.002
530	0.144	10200	0.134	2.596	10200	1.972
531	0.162	10000	0.15	2.308	10000	1.943
532	0.194	9700	0.151	2.6	9700	1.891
533	0.146	10100	0.15	2.64	10100	1.859
534	0.153	10200	0.156	2.599	10200	1.844
535	0.148	10600	0.145	2.479	10600	1.881
536	0.156	10800	0.169	2.536	10800	1.939
537	0.183	9800	0.17	2.144	9800	1.94
538	2.062	10800	0.131	3.853	10800	1.851
539	0.986	10500	0.106	2.983	10500	1.861
540	1.342	10600	0.113	3.185	10600	1.863
541	0.167	10200	0.139	2.339	10200	1.89
542	0.196	10300	0.126	2.372	10300	1.931
543	0.163	10100	0.131	2.456	10100	1.876
544	0.326	10400	0.174	2.691	10400	1.944
545	0.186	9400	0.131	2.292	9400	1.947
546	0.254	9800	0.118	2.419	9800	1.864
547	3.466	10500	0.132	5.232	10500	1.837
548	0.14	9800	0.128	2.102	9800	1.896
549	1.247	9000	0.147	3.105	9000	1.928
550	4.185	9900	0.143	6.362	9900	1.942
551	0.389	10400	0.124	2.364	10400	1.931
552	0.154	9700	0.119	2.125	9700	1.884
553	1.067	9700	0.126	3.088	9700	1.886
554	0.222	9500	0.138	2.295	9500	1.92
555	0.155	9200	0.147	2.076	9200	1.941
556	0.26	9600	0.15	2.467	9600	1.904
557	0.132	9500	0.137	2.072	9500	1.858
558	0.354	9300	0.117	2.243	9300	1.856
559	1.007	9400	0.115	2.764	9400	1.82
560	6.944	10200	0.127	8.344	10200	1.803
561	0.545	9900	0.122	2.553	9900	1.849
562	0.388	9800	0.118	2.602	9800	1.888
563	1.038	10100	0.133	2.91	10100	1.9
564	1.044	10900	0.169	3.225	10900	1.883
565	0.393	11000	0.218	2.845	11000	1.853
566	1.004	10400	0.169	3.285	10400	1.857
567	0.918	10900	0.111	3.202	10900	1.85
568	0.149	10700	0.111	2.404	10700	1.838
569	2.36	9900	0.114	4.159	9900	1.876
570	0.143	10200	0.125	2.15	10200	1.925
571	1.074	10800	0.114	3.159	10800	1.916
572	0.77	10600	0.131	2.921	10600	1.923
573	0.839	10800	0.14	3.063	10800	1.968
574	2.101	10900	0.136	3.979	10900	1.985
575	2.814	10300	0.103	4.718	10300	1.995
576	0.21	10100	0.113	2.51	10100	1.902
